Num_Elementos,Tempo_Medio_Segundos
1000,0.0000001732
36000,0.0000002984
121000,0.0000002662
256000,0.0000003118
441000,0.0000003176
676000,0.0000003014
961000,0.0000003460
1296000,0.0000003124
1681000,0.0000003380
2116000,0.0000003708
