Num_Elementos,Tempo_Medio_Segundos
500,0.0000040700
18000,0.0002182100
60500,0.0007987700
128000,0.0022158300
220500,0.0041896500
338000,0.0065486200
480500,0.0093725600
648000,0.0126981600
840500,0.0163960600
1058000,0.0207640500
